Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
It Follows,2014,R,100 min,"Horror, Mystery",6.8,David Robert Mitchell,168148,$14.67M
Contratiempo,2016,NaN,106 min,"Crime, Mystery, Thriller",8.1,Oriol Paulo,64234,NaN
Shooter,2007,R,124 min,"Action, Crime, Drama",7.2,Antoine Fuqua,283174,$47.00M
The Age of Adaline,2015,PG-13,112 min,"Drama, Fantasy, Romance",7.2,Lee Toland Krieger,129868,$42.48M
Pitch Perfect,2012,PG-13,112 min,"Comedy, Music, Romance",7.2,Jason Moore,245720,$65.00M
The Nice Guys,2016,R,116 min,"Action, Comedy, Crime",7.4,Shane Black,222012,$36.26M
Gone Baby Gone,2007,R,114 min,"Crime, Drama, Mystery",7.7,Ben Affleck,224752,$20.30M
Children of Men,2006,R,109 min,"Drama, Sci-Fi, Thriller",7.9,Alfonso Cuarón,410347,$35.55M
Oblivion,2013,PG-13,124 min,"Action, Adventure, Mystery",7,Joseph Kosinski,437807,$89.02M
The Amazing Spider-Man 2,2014,PG-13,142 min,"Action, Adventure, Sci-Fi",6.6,Marc Webb,371568,$202.85M
Ah-ga-ssi,2016,Not Rated,144 min,"Crime, Drama, Mystery",8.1,Chan-wook Park,65908,$2.01M
Everest,2015,PG-13,121 min,"Action, Adventure, Biography",7.1,Baltasar Kormákur,173248,$43.48M
Creed,2015,PG-13,133 min,"Drama, Sport",7.6,Ryan Coogler,200825,$109.77M
The Spectacular Now,2013,R,95 min,"Comedy, Drama, Romance",7.1,James Ponsoldt,127909,$6.85M
G.I. Joe: The Rise of Cobra,2009,PG-13,118 min,"Action, Adventure, Sci-Fi",5.8,Stephen Sommers,187708,$152.27M
Under the Skin,2013,R,108 min,"Drama, Sci-Fi, Thriller",6.3,Jonathan Glazer,106785,$2.61M
The Maze Runner,2014,PG-13,113 min,"Action, Mystery, Sci-Fi",6.8,Wes Ball,371564,$102.43M
A Cure for Wellness,2016,R,146 min,"Drama, Fantasy, Horror",6.4,Gore Verbinski,63800,$8.11M
The Legend of Tarzan,2016,PG-13,110 min,"Action, Adventure, Drama",6.3,David Yates,141736,$126.64M
Moonrise Kingdom,2012,PG-13,94 min,"Adventure, Comedy, Drama",7.8,Wes Anderson,279631,$45.51M
Cars,2006,G,117 min,"Animation, Comedy, Family",7.1,John Lasseter,309569,$244.08M
The Intern,2015,PG-13,121 min,"Comedy, Drama",7.1,Nancy Meyers,181579,$75.76M
xXx: Return of Xander Cage,2017,PG-13,107 min,"Action, Adventure, Thriller",5.2,D.J. Caruso,72368,$44.90M
Zero Dark Thirty,2012,R,157 min,"Drama, Thriller",7.4,Kathryn Bigelow,241968,$95.72M
RED,2010,PG-13,111 min,"Action, Comedy, Crime",7.1,Robert Schwentke,264180,$90.38M
The Lego Batman Movie,2017,PG,104 min,"Animation, Action, Comedy",7.3,Chris McKay,104132,$175.75M
The Circle,2017,PG-13,110 min,"Drama, Sci-Fi, Thriller",5.3,James Ponsoldt,65377,$20.48M
The House Bunny,2008,PG-13,97 min,"Comedy, Romance",5.5,Fred Wolf,71373,$48.24M
Pride and Prejudice and Zombies,2016,PG-13,108 min,"Action, Horror, Romance",5.8,Burr Steers,42854,$10.91M
Miss Peregrine's Home for Peculiar Children,2016,PG-13,127 min,"Adventure, Drama, Fantasy",6.7,Tim Burton,131838,$87.24M
Dark Places,2015,R,113 min,"Action, Drama, Mystery",6.2,Gilles Paquet-Brenner,36262,NaN
Allied,2016,R,124 min,"Action, Drama, Romance",7.1,Robert Zemeckis,114642,$40.07M
The Mountain Between Us,2017,PG-13,112 min,"Action, Adventure, Drama",6.4,Hany Abu-Assad,47736,$30.35M
