Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
W.E.,2011,R,119 min,"Drama, History, Romance",6.3,Madonna,10999,$0.58M
Apollo 18,2011,PG-13,86 min,"Horror, Mystery, Sci-Fi",5.2,Gonzalo López-Gallego,50277,$17.69M
S. Darko,2009,R,103 min,"Mystery, Sci-Fi, Thriller",3.6,Chris Fisher,12127,NaN
Kis Uykusu,2014,Not Rated,196 min,Drama,8.2,Nuri Bilge Ceylan,33469,NaN
Sultan,2016,Not Rated,170 min,"Action, Drama, Sport",7.1,Ali Abbas Zafar,31432,$6.20M
The Last Exorcism,2010,PG-13,87 min,"Drama, Horror, Thriller",5.6,Daniel Stamm,44846,$41.03M
Cursed,2005,PG-13,97 min,"Comedy, Horror",5,Wes Craven,28204,$19.30M
Fireproof,2008,PG,122 min,"Drama, Romance",6.6,Alex Kendrick,19032,$33.46M
Hotel for Dogs,2009,PG,100 min,"Comedy, Family",5.4,Thor Freudenthal,18907,$73.03M
Upside Down,2012,PG-13,109 min,"Drama, Fantasy, Romance",6.4,Juan Solanas,64680,$0.10M
Control,2007,R,122 min,"Biography, Drama, Music",7.7,Anton Corbijn,56249,$0.87M
A Very Harold & Kumar 3D Christmas,2011,R,90 min,"Adventure, Comedy",6.3,Todd Strauss-Schulson,60428,$35.03M
The Pink Panther 2,2009,PG,92 min,"Adventure, Comedy, Crime",5.6,Harald Zwart,37712,$35.92M
Incarnate,2016,PG-13,91 min,"Fantasy, Horror, Mystery",5.2,Brad Peyton,9412,$4.79M
Trapped,XVII) (2016,NaN,105 min,Thriller,7.6,Vikramaditya Motwane,6112,NaN
Manhattan Night,2016,R,113 min,"Crime, Drama, Mystery",6.2,Brian DeCubellis,9485,NaN
Tian jiang xiong shi,2015,R,127 min,"Action, Adventure, Drama",6,Daniel Lee,15689,$0.07M
Upstream Color,2013,Not Rated,96 min,"Drama, Sci-Fi",6.7,Shane Carruth,27424,$0.44M
Hidden,2015,R,84 min,"Horror, Thriller",6.4,Matt Duffer,16576,NaN
Nancy Drew,2007,PG,99 min,"Comedy, Crime, Family",5.9,Andrew Fleming,17583,$25.61M
Deathgasm,2015,Not Rated,86 min,"Action, Comedy, Horror",6.3,Jason Lei Howden,13167,NaN
The Interpreter,2005,PG-13,128 min,"Crime, Mystery, Thriller",6.4,Sydney Pollack,91517,$72.71M
The Duke of Burgundy,2014,Not Rated,104 min,"Drama, Mystery, Romance",6.6,Peter Strickland,9754,$0.03M
Ittefaq,2017,Not Rated,105 min,"Mystery, Thriller",7.2,Abhay Chopra,7045,$0.30M
Alone in the Dark,2005,R,96 min,"Action, Horror, Sci-Fi",2.3,Uwe Boll,39759,$5.18M
In Secret,2013,R,107 min,"Crime, Drama, Thriller",6.2,Charlie Stratton,6691,$0.42M
Absolutely Fabulous: The Movie,2016,R,91 min,"Comedy, Crime",5.4,Mandie Fletcher,10102,$4.75M
Woodlawn,2015,PG,123 min,"Drama, Sport",6.5,Andrew Erwin,5702,$14.39M
Hop,2011,PG,95 min,"Animation, Adventure, Comedy",5.5,Tim Hill,27609,$108.09M
The Ringer,2005,PG-13,94 min,"Comedy, Sport",5.8,Barry W. Blaustein,33070,$35.42M
Bright Star,2009,PG,119 min,"Biography, Drama, Romance",7,Jane Campion,23413,$4.44M
The Prince,2014,R,93 min,"Action, Thriller",4.6,Brian A. Miller,15265,NaN
Truth,2015,R,125 min,"Biography, Drama, History",6.8,James Vanderbilt,16124,$2.54M
The Company You Keep,2012,R,125 min,"Drama, Thriller",6.4,Robert Redford,28917,$5.13M
Rogue,2007,R,99 min,"Action, Adventure, Horror",6.2,Greg McLean,24439,$0.01M
Feast,2005,R,95 min,"Action, Comedy, Horror",6.4,John Gulager,27452,$0.05M
A Brilliant Young Mind,2014,PG-13,111 min,"Drama, Romance",7.2,Morgan Matthews,24280,$0.14M
Nothing But the Truth,2008,R,108 min,"Crime, Drama, Mystery",7.2,Rod Lurie,33389,$0.00M
Paranormal Activity: The Marked Ones,2014,R,84 min,"Horror, Thriller",5,Christopher Landon,35897,$32.46M
Paris Can Wait,2016,PG,92 min,"Comedy, Drama, Romance",5.8,Eleanor Coppola,5490,$5.62M
Pathfinder,2007,R,99 min,"Action, Adventure, Drama",5.4,Marcus Nispel,39920,$10.23M
The Poughkeepsie Tapes,2007,R,81 min,"Horror, Mystery, Thriller",6.1,John Erick Dowdle,11848,NaN
White Bird in a Blizzard,2014,R,91 min,"Drama, Mystery, Thriller",6.4,Gregg Araki,24554,$0.03M
Carriers,2009,PG-13,84 min,"Drama, Horror, Sci-Fi",6,David Pastor,38647,$0.09M
A Street Cat Named Bob,2016,Not Rated,103 min,"Biography, Comedy, Drama",7.4,Roger Spottiswoode,20846,$0.04M
Marmaduke,2010,PG,87 min,"Comedy, Family",4.2,Tom Dey,12826,$33.64M
Four Christmases,2008,PG-13,88 min,"Comedy, Drama, Romance",5.7,Seth Gordon,55194,$120.15M
The Baytown Outlaws,2012,R,98 min,"Action, Comedy, Crime",6.4,Barry Battles,12497,NaN
About Cherry,2012,R,98 min,Drama,4.8,Stephen Elliott,8938,$0.00M
Vikram Vedha,2017,NaN,147 min,"Action, Crime, Thriller",8.8,Gayatri,14371,NaN
The Ant Bully,2006,PG,88 min,"Animation, Adventure, Comedy",5.8,John A. Davis,33398,$28.14M
A Haunted House 2,2014,R,86 min,"Comedy, Fantasy",4.7,Michael Tiddes,17277,$17.33M
La tortue rouge,2016,PG,80 min,"Animation, Fantasy",7.5,Michael Dudok de Wit,22088,$0.92M
Womb,2010,Not Rated,111 min,"Drama, Romance, Sci-Fi",6.4,Benedek Fliegauf,12002,NaN
"Peace, Love & Misunderstanding",2011,R,96 min,"Comedy, Drama, Music",5.9,Bruce Beresford,7182,$0.54M
"Good Night, and Good Luck.",2005,PG,93 min,"Biography, Drama, History",7.5,George Clooney,88717,$31.50M
Baby,2015,Not Rated,159 min,"Action, Thriller",8.1,Neeraj Pandey,45885,NaN
Alone in Berlin,2016,R,103 min,Drama,6.4,Vincent Perez,5343,NaN
Felon,2008,R,104 min,"Crime, Drama",7.5,Ric Roman Waugh,71163,$0.04M
L'immortel,2010,Not Rated,117 min,"Action, Crime, Thriller",6.7,Richard Berry,29146,NaN
The Hungover Games,2014,R,85 min,Comedy,3.7,Josh Stolberg,9272,NaN
The Last Five Years,2014,PG-13,94 min,"Comedy, Drama, Musical",5.9,Richard LaGravenese,8310,$0.14M
Georgia Rule,2007,R,113 min,"Comedy, Drama",5.9,Garry Marshall,22415,$18.88M
Celeste & Jesse Forever,2012,R,92 min,"Comedy, Drama, Romance",6.6,Lee Toland Krieger,26921,$3.09M
Highway,2014,Not Rated,133 min,"Crime, Drama, Romance",7.6,Imtiaz Ali,21981,$0.53M
The Rewrite,2014,Not Rated,107 min,"Comedy, Romance",6.2,Marc Lawrence,15629,NaN
Prom,2011,PG,104 min,"Comedy, Drama, Family",5.5,Joe Nussbaum,13943,$10.13M
Bernie,2011,PG-13,104 min,"Biography, Comedy, Crime",6.8,Richard Linklater,52333,$9.20M
Austenland,2013,PG-13,97 min,"Comedy, Romance",6.3,Jerusha Hess,17225,$2.15M
Roll Bounce,2005,PG-13,112 min,"Comedy, Drama, Music",6.1,Malcolm D. Lee,5994,$17.38M
Tamara Drewe,2010,R,107 min,"Comedy, Drama, Romance",6.2,Stephen Frears,18906,$0.56M
This Christmas,2007,PG-13,117 min,"Comedy, Drama, Romance",6.2,Preston A. Whitmore II,7362,$49.12M
2 States,2014,Not Rated,149 min,"Comedy, Drama, Romance",6.9,Abhishek Varman,20923,$2.22M
Easy Virtue,2008,PG-13,97 min,"Comedy, Romance",6.7,Stephan Elliott,18453,$2.66M
Getaway,2013,PG-13,90 min,"Action, Crime, Thriller",4.4,Courtney Solomon,21581,$10.49M
Mr. Magorium's Wonder Emporium,2007,G,93 min,"Comedy, Family, Fantasy",6.2,Zach Helm,39010,$32.06M
Untraceable,2008,R,101 min,"Crime, Horror, Mystery",6.2,Gregory Hoblit,44314,$28.69M
CBGB,2013,R,102 min,"Drama, Music",6.6,Randall Miller,7516,$0.04M
Julieta,2016,R,99 min,"Drama, Mystery, Romance",7.1,Pedro Almodóvar,22446,$1.49M
Zipper,2015,R,112 min,"Drama, Thriller",5.7,Mora Stephens,5757,NaN
Women in Trouble,2009,R,92 min,"Comedy, Drama",5.8,Sebastian Gutierrez,5530,NaN
Choke,2008,R,92 min,"Comedy, Drama",6.5,Clark Gregg,30044,$2.93M
Mother's Day,2010,R,112 min,"Drama, Horror, Thriller",6.3,Darren Lynn Bousman,14550,NaN
Bad Santa 2,2016,R,92 min,"Comedy, Crime, Drama",5.6,Mark Waters,17889,$17.78M
The Sessions,2012,R,95 min,"Biography, Comedy, Drama",7.2,Ben Lewin,39112,$6.00M
Kill Command,2016,Not Rated,99 min,"Action, Horror, Sci-Fi",5.7,Steven Gomez,11014,NaN
Loft,2008,NaN,118 min,"Crime, Drama, Mystery",7.3,Erik Van Looy,18002,NaN
Planes: Fire & Rescue,2014,PG,83 min,"Animation, Adventure, Comedy",6,Roberts Gannaway,14631,$59.17M
The Immigrant,2013,R,120 min,"Drama, Romance",6.6,James Gray,25481,$2.01M
"Hello, My Name Is Doris",2015,R,90 min,"Comedy, Drama, Romance",6.6,Michael Showalter,16445,$14.44M
Right at Your Door,2006,R,96 min,"Drama, Sci-Fi, Thriller",6.1,Chris Gorak,11866,$0.06M
Great Expectations,2012,PG-13,128 min,"Drama, Romance",6.4,Mike Newell,11007,$0.26M
Leviathan,2014,R,140 min,"Crime, Drama",7.6,Andrey Zvyagintsev,40865,$1.09M
Morning Glory,2010,PG-13,107 min,"Comedy, Drama, Romance",6.5,Roger Michell,64929,$31.01M
Killing Ground,2016,Not Rated,88 min,"Horror, Thriller",5.8,Damien Power,5473,NaN
I Am Not a Serial Killer,2016,Not Rated,104 min,"Drama, Horror, Thriller",6.2,Billy O'Brien,11176,NaN
Extinction,2015,R,112 min,"Drama, Horror, Sci-Fi",5.8,Miguel Ángel Vivas,14129,NaN
Splinter,2008,R,82 min,"Horror, Sci-Fi, Thriller",6.1,Toby Wilkins,29873,NaN
Madame Bovary,2014,R,118 min,Drama,5.7,Sophie Barthes,6315,NaN
Crossing Over,2009,R,113 min,"Crime, Drama",6.8,Wayne Kramer,21279,$0.45M
The Pirates! Band of Misfits,2012,PG,88 min,"Animation, Adventure, Comedy",6.7,Peter Lord,40541,$31.05M
Mascots,2016,TV-MA,89 min,Comedy,5.8,Christopher Guest,5755,NaN
Just Before I Go,2014,R,95 min,"Comedy, Drama",6.4,Courteney Cox,15862,$0.01M
Guess Who,2005,PG-13,105 min,"Comedy, Romance",5.9,Kevin Rodney Sullivan,37133,$68.92M
Blue Jay,2016,Unrated,80 min,Drama,7.3,Alex Lehmann,8578,$0.01M
Thick as Thieves,2009,R,104 min,"Action, Crime, Thriller",6,Mimi Leder,31274,NaN
Turist,2014,R,120 min,"Comedy, Drama",7.3,Ruben Östlund,39314,$1.36M
Arbitrage,2012,R,107 min,"Drama, Thriller",6.6,Nicholas Jarecki,45740,$7.92M
Are We There Yet?,2005,PG,95 min,"Adventure, Comedy, Family",4.6,Brian Levant,25731,$82.67M
Kraftidioten,2014,R,116 min,"Crime, Drama, Thriller",7.2,Hans Petter Moland,17512,$0.05M
Admission,2013,PG-13,107 min,"Comedy, Drama, Romance",5.7,Paul Weitz,31153,$18.00M
Girl House,2014,Not Rated,99 min,"Horror, Thriller",5.5,Jon Knautz,6800,NaN
Oliver Twist,2005,PG-13,130 min,"Crime, Drama",6.9,Roman Polanski,28251,$1.99M
Afflicted,2013,R,85 min,"Horror, Mystery, Thriller",6.3,Derek Lee,19326,$0.12M
Awake,2007,R,84 min,"Crime, Drama, Mystery",6.5,Joby Harold,68238,$14.38M
House of Tolerance,2011,Not Rated,122 min,Drama,6.7,Bertrand Bonello,5256,$0.02M
Curious George,2006,G,87 min,"Animation, Adventure, Comedy",6.5,Matthew O'Callaghan,14033,$58.64M
The Nanny Diaries,2007,PG-13,105 min,"Comedy, Drama, Romance",6.2,Shari Springer Berman,52520,$25.93M
Savage Grace,2007,Not Rated,97 min,Drama,5.9,Tom Kalin,9870,$0.43M
The Girlfriend Experience,2009,R,77 min,Drama,5.5,Steven Soderbergh,14869,$0.70M
Taking Woodstock,2009,R,120 min,"Biography, Comedy, Drama",6.7,Ang Lee,26554,$7.44M
Barnyard,2006,PG,90 min,"Animation, Adventure, Comedy",5.6,Steve Oedekerk,23875,$72.78M
Premium Rush,2012,PG-13,91 min,"Action, Crime, Thriller",6.5,David Koepp,103373,$20.28M
Pelé: Birth of a Legend,2016,PG,107 min,"Biography, Drama, Sport",7.2,Jeff Zimbalist,12624,$0.03M
Get on Up,2014,PG-13,139 min,"Biography, Drama, Music",6.9,Tate Taylor,18344,$30.51M
Jenny's Wedding,2015,PG-13,94 min,"Comedy, Drama",5.5,Mary Agnes Donoghue,8927,$0.00M
Approaching the Unknown,2016,R,90 min,"Drama, Sci-Fi, Thriller",4.8,Mark Elijah Rosenberg,6885,NaN
Because of Winn-Dixie,2005,PG,106 min,"Comedy, Drama, Family",6.4,Wayne Wang,9379,$32.65M
Hoje Eu Quero Voltar Sozinho,2014,Not Rated,96 min,"Drama, Romance",8,Daniel Ribeiro,18933,$0.10M
Black Water,2007,R,90 min,"Action, Drama, Horror",6,David Nerlich,11290,NaN
Red Cliff,2008,R,148 min,"Action, Adventure, Drama",7.4,John Woo,40450,$0.63M
La Vénus à la fourrure,2013,Not Rated,96 min,Drama,7.2,Roman Polanski,15022,$0.34M
Mersal,2017,Not Rated,172 min,"Action, Thriller",8.2,Atlee Kumar,20067,NaN
Flyboys,2006,PG-13,140 min,"Action, Adventure, Drama",6.5,Tony Bill,38494,$13.08M
Comet,2014,R,91 min,"Comedy, Drama, Romance",6.8,Sam Esmail,15476,NaN
The Woman in Black 2: Angel of Death,2014,PG-13,98 min,"Drama, Horror, Thriller",4.9,Tom Harper,23693,$26.50M
The Other Side of the Door,2016,R,96 min,Horror,5.3,Johannes Roberts,15116,$2.99M
Strange Magic,2015,PG,99 min,"Animation, Adventure, Comedy",5.8,Gary Rydstrom,8742,$12.43M
Shopgirl,2005,R,106 min,"Drama, Romance",6.4,Anand Tucker,22399,$10.28M
88 Minutes,2007,R,108 min,"Crime, Drama, Mystery",5.9,Jon Avnet,70313,$16.93M
Dark Water,2005,PG-13,105 min,"Drama, Horror, Thriller",5.6,Walter Salles,55118,$25.47M
The Condemned,2007,R,113 min,"Action, Crime, Thriller",6.1,Scott Wiper,47640,$0.00M
Udta Punjab,2016,TV-MA,148 min,"Action, Crime, Drama",7.8,Abhishek Chaubey,21144,NaN
Cold in July,2014,R,109 min,"Crime, Thriller",6.8,Jim Mickle,30682,$0.41M
13,2010,R,91 min,"Drama, Thriller",6.1,Géla Babluani,37540,NaN
Pink,2016,Not Rated,136 min,Drama,8.2,Aniruddha Roy Chowdhury,29093,NaN
Scoop,2006,PG-13,96 min,"Comedy, Crime, Mystery",6.7,Woody Allen,74298,$10.53M
Beasts of the Southern Wild,2012,PG-13,93 min,"Adventure, Drama, Fantasy",7.3,Benh Zeitlin,75984,$12.80M
Kill Switch,2017,R,91 min,"Action, Sci-Fi, Thriller",4.8,Tim Smit,5711,NaN
Star Wars: The Clone Wars,2008,PG,98 min,"Animation, Action, Adventure",5.9,Dave Filoni,48761,$35.16M
The Magic of Belle Isle,2012,PG,109 min,"Comedy, Drama",7,Rob Reiner,15668,$0.10M
Middle Men,2009,R,105 min,"Comedy, Crime, Drama",6.6,George Gallo,34649,$0.72M
The Wind that Shakes the Barley,2006,Not Rated,127 min,"Drama, War",7.5,Ken Loach,41209,$1.83M
Wind Chill,2007,R,91 min,"Drama, Horror, Thriller",5.9,Gregory Jacobs,20005,$0.02M
16 Blocks,2006,PG-13,102 min,"Action, Crime, Drama",6.6,Richard Donner,119624,$36.88M
Pride and Glory,2008,R,130 min,"Crime, Drama, Thriller",6.7,Gavin O'Connor,56225,$15.71M
Million Dollar Arm,2014,PG,124 min,"Biography, Drama, Sport",7,Craig Gillespie,39990,$36.45M
Southbound,2015,R,89 min,"Fantasy, Horror, Thriller",5.9,Roxanne Benjamin,13161,$0.01M
Rubber,2010,R,82 min,"Comedy, Fantasy, Horror",5.8,Quentin Dupieux,29947,$0.10M
The Warrior's Way,2010,R,100 min,"Action, Fantasy, Western",6.3,Sngmoo Lee,23711,$5.66M
The Tortured,2010,R,79 min,"Horror, Thriller",5.5,Robert Lieberman,6683,NaN
Bitch Slap,2009,R,109 min,"Action, Comedy, Crime",4.5,Rick Jacobson,12785,$0.02M
The Lunchbox,2013,PG,104 min,"Drama, Romance",7.8,Ritesh Batra,40294,$4.23M
Masaan,2015,NaN,109 min,Drama,8.1,Neeraj Ghaywan,16328,NaN
Dirty Girl,2010,R,90 min,"Comedy, Drama",6.5,Abe Sylvia,9813,$0.05M
The Trust,2016,R,92 min,"Crime, Drama, Thriller",5.4,Alex Brewer,15051,NaN
Garfield: A Tail of Two Kitties,2006,PG,82 min,"Animation, Comedy, Family",5,Tim Hill,33064,$28.43M
Beatriz at Dinner,2017,R,82 min,"Comedy, Drama",6.1,Miguel Arteta,7186,$7.12M
Stitches,2012,R,86 min,"Comedy, Horror",5.7,Conor McMahon,7870,NaN
Bitva za Sevastopol,2015,NaN,110 min,"Biography, Drama, Romance",7.2,Sergey Mokritskiy,7370,NaN
Where the Truth Lies,2005,R,107 min,"Crime, Drama, Mystery",6.5,Atom Egoyan,16039,$0.87M
Man cheng jin dai huang jin jia,2006,R,114 min,"Action, Drama, Romance",7,Yimou Zhang,39302,$6.57M
David Brent: Life on the Road,2016,NaN,96 min,"Comedy, Music",6.3,Ricky Gervais,14195,NaN
Bajrangi Bhaijaan,2015,Not Rated,163 min,"Action, Comedy, Drama",8,Kabir Khan,59415,$8.18M
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,R,114 min,"Adventure, Comedy",7.1,Felix Herngren,33765,$1.08M
The Invisible,2007,PG-13,102 min,"Crime, Drama, Fantasy",6.3,David S. Goyer,32943,$20.57M
The World's Fastest Indian,2005,PG-13,127 min,"Biography, Drama, Sport",7.8,Roger Donaldson,47889,$5.13M
Taxi 4,2007,Not Rated,91 min,"Action, Comedy, Crime",5.6,Gérard Krawczyk,23425,NaN
Stand Up Guys,2012,R,95 min,"Comedy, Crime, Thriller",6.5,Fisher Stevens,49427,$3.30M
Frost/Nixon,2008,R,122 min,"Biography, Drama, History",7.7,Ron Howard,95265,$18.59M
The Fury of a Patient Man,2016,TV-MA,92 min,"Drama, Thriller",6.8,Raúl Arévalo,6698,NaN
Army of One,2016,R,92 min,"Adventure, Biography, Comedy",5,Larry Charles,5272,NaN
Harry Brown,2009,R,103 min,"Action, Crime, Drama",7.2,Daniel Barber,79141,$1.82M
Gambit,2012,PG-13,89 min,"Comedy, Crime",5.7,Michael Hoffman,21429,NaN
The Brothers Bloom,2008,PG-13,114 min,"Adventure, Comedy, Drama",6.8,Rian Johnson,45398,$3.52M
Breach,2007,PG-13,110 min,"Biography, Crime, Drama",7,Billy Ray,54903,$33.23M
The Fog,2005,PG-13,100 min,Horror,3.6,Rupert Wainwright,31990,$29.51M
Wristcutters: A Love Story,2006,R,88 min,"Comedy, Drama, Fantasy",7.3,Goran Dukic,50188,$0.32M
Two for the Money,2005,R,122 min,"Drama, Sport, Thriller",6.2,D.J. Caruso,39997,$22.86M
Skinwalkers,2006,R,110 min,"Action, Fantasy, Horror",4.6,James Isaac,12303,$1.02M
"Like Father, Like Son",2013,Not Rated,121 min,Drama,7.8,Hirokazu Koreeda,16384,$0.28M
The Quiet Ones,2014,PG-13,98 min,Horror,5.1,John Pogue,17431,$8.50M
This Beautiful Fantastic,2016,PG,100 min,"Comedy, Drama, Fantasy",6.9,Simon Aboud,5057,$0.04M
I Know Who Killed Me,2007,R,105 min,"Crime, Drama, Mystery",3.6,Chris Sivertson,24335,$7.50M
Raajneeti,2010,Not Rated,163 min,"Crime, Drama",7.1,Prakash Jha,14589,$1.44M
Mohenjo Daro,2016,NaN,155 min,"Action, Adventure, Drama",5.8,Ashutosh Gowariker,9040,$1.25M
World's Greatest Dad,2009,R,99 min,"Comedy, Drama",6.9,Bobcat Goldthwait,34755,$0.22M
99 Homes,2014,R,112 min,Drama,7.1,Ramin Bahrani,25256,$1.41M
The Edge of Love,2008,R,110 min,"Biography, Drama, Romance",6.3,John Maybury,15030,$0.03M
The Notorious Bettie Page,2005,R,91 min,"Biography, Drama",6.6,Mary Harron,9640,$1.41M
Zoom,2006,PG,83 min,"Action, Adventure, Comedy",4.3,Peter Hewitt,16773,$11.63M
Accidental Love,2015,PG-13,100 min,"Comedy, Romance",4.1,David O. Russell,6702,NaN
Gomorrah,2008,Not Rated,137 min,"Crime, Drama",7,Matteo Garrone,42259,$1.58M
Arn: Tempelriddaren,2007,R,139 min,"Action, Adventure, Drama",6.6,Peter Flinth,19581,NaN
The Greatest Game Ever Played,2005,PG,120 min,"Biography, Drama, History",7.5,Bill Paxton,24962,$15.33M
Glory Road,2006,PG,118 min,"Biography, Drama, Sport",7.2,James Gartner,38836,$42.64M
The Bag Man,2014,R,108 min,"Crime, Drama, Thriller",5.3,David Grovic,15060,$0.05M
Guardians,2017,Not Rated,89 min,"Action, Sci-Fi",4,Sarik Andreasyan,8896,NaN
Peacock,2010,PG-13,90 min,"Drama, Thriller",6.3,Michael Lander,9749,NaN
The Informers,2008,R,98 min,"Crime, Drama, Thriller",5,Gregor Jordan,15098,$0.30M
Two Lovers,2008,R,110 min,"Drama, Romance",7.1,James Gray,32832,$3.15M
The Forger,2014,R,92 min,"Crime, Drama, Thriller",5.7,Philip Martin,10587,NaN
Sparkle,2012,PG-13,116 min,"Drama, Music",5.7,Salim Akil,5512,$24.40M
Paranormal Activity 4,2012,R,88 min,Horror,4.6,Henry Joost,56655,$53.92M
The Resident,2011,R,91 min,"Drama, Horror, Mystery",5.3,Antti Jokinen,23996,NaN
Somewhere,2010,R,97 min,"Comedy, Drama",6.3,Sofia Coppola,39321,$1.77M
Good Kill,2014,R,102 min,"Drama, Thriller, War",6.4,Andrew Niccol,20186,$0.32M
13 Sins,2014,R,93 min,"Horror, Thriller",6.3,Daniel Stamm,28155,$0.01M
The Art of the Steal,2013,R,90 min,"Comedy, Crime, Thriller",6.3,Jonathan Sobol,21206,$0.06M
Mistress America,2015,R,84 min,"Comedy, Drama",6.7,Noah Baumbach,21484,$2.46M
Taeksi woonjunsa,2017,Not Rated,137 min,"Action, Drama, History",7.8,Hun Jang,7282,$1.53M
Red Tails,2012,PG-13,125 min,"Action, Adventure, Drama",5.9,Anthony Hemingway,31087,$49.88M
Stan Helsing,2009,R,108 min,"Comedy, Horror",3.6,Bo Zenga,10838,NaN
The Broken,2008,R,93 min,"Drama, Horror, Thriller",5.5,Sean Ellis,9645,NaN
Top Five,2014,R,102 min,"Comedy, Romance",6.4,Chris Rock,24267,$25.28M
The Last Legion,2007,PG-13,101 min,"Action, Adventure, War",5.4,Doug Lefler,31926,$5.93M
Los ojos de Julia,2010,Not Rated,118 min,"Horror, Mystery, Thriller",6.7,Guillem Morales,27460,NaN
The Longest Week,2014,PG-13,86 min,"Comedy, Drama, Romance",5.4,Peter Glanz,10067,NaN
My Life as a Zucchini,2016,PG-13,70 min,"Animation, Comedy, Drama",7.8,Claude Barras,14739,$0.29M
Paper Man,2009,R,110 min,"Comedy, Drama",6.6,Kieran Mulroney,16958,$0.02M
Viral,2016,R,85 min,"Drama, Horror, Sci-Fi",5.5,Henry Joost,6544,NaN
Shahid,2012,Not Rated,129 min,"Biography, Crime, Drama",8.3,Hansal Mehta,11431,NaN
Night Train to Lisbon,2013,R,111 min,"Mystery, Romance, Thriller",6.8,Bille August,15786,NaN
Cabin Fever: Patient Zero,2014,Not Rated,91 min,"Horror, Sci-Fi",4.4,Kaare Andrews,6151,NaN
Blood Creek,2009,R,90 min,Horror,5.4,Joel Schumacher,10538,NaN
Assault on Precinct 13,2005,R,109 min,"Action, Crime, Drama",6.3,Jean-François Richet,69609,$19.98M
Omoide no Mânî,2014,PG,103 min,"Animation, Drama, Family",7.7,James Simone,22384,$0.77M
Fever Pitch,2005,PG-13,104 min,"Comedy, Drama, Romance",6.2,Bobby Farrelly,39160,$42.07M
Miracle at St. Anna,2008,R,160 min,"Action, Drama, War",6,Spike Lee,16753,$7.92M
The Tale of Despereaux,2008,G,93 min,"Animation, Adventure, Comedy",6.1,Sam Fell,33392,$50.88M
The Seasoning House,2012,Not Rated,90 min,"Drama, Horror, Thriller",6.1,Paul Hyett,8229,NaN
The Meddler,2015,PG-13,103 min,"Comedy, Drama, Romance",6.3,Lorene Scafaria,9724,$4.27M
Howl,2015,Not Rated,89 min,"Comedy, Fantasy, Horror",5.3,Paul Hyett,8597,NaN
The Last Kiss,2006,R,104 min,"Comedy, Drama, Romance",6.5,Tony Goldwyn,39505,$11.60M
The Burning Plain,2008,R,107 min,"Crime, Drama, Romance",6.8,Guillermo Arriaga,17127,$0.20M
"4 Months, 3 Weeks and 2 Days",2007,Not Rated,113 min,Drama,7.9,Cristian Mungiu,50460,$1.19M
Sleight,2016,R,89 min,"Action, Drama, Sci-Fi",5.9,J.D. Dillard,6256,$3.85M
Frontier(s),2007,Unrated,108 min,"Action, Horror, Thriller",6.3,Xavier Gens,22633,NaN
Tyrannosaur,2011,Not Rated,92 min,Drama,7.6,Paddy Considine,27355,$0.02M
Grace of Monaco,2014,Not Rated,103 min,"Biography, Drama, Romance",5.7,Olivier Dahan,15639,NaN
Stolen,2009,R,91 min,"Crime, Drama, Mystery",6.2,Anders Anderson,5038,$0.01M
And So It Goes,2014,PG-13,94 min,"Comedy, Drama, Romance",5.8,Rob Reiner,11062,$15.16M
Ice Princess,2005,G,98 min,"Comedy, Drama, Family",6,Tim Fywell,22210,$24.38M
Airlift,2016,Not Rated,130 min,"Adventure, Drama, History",8.1,Raja Menon,45460,NaN
Hell Ride,2008,R,84 min,"Action, Drama, Thriller",5.1,Larry Bishop,14803,$0.19M
The Bay,2012,R,84 min,"Horror, Sci-Fi, Thriller",5.6,Barry Levinson,22656,$0.03M
Son of Rambow,2007,PG-13,96 min,"Action, Adventure, Comedy",7,Garth Jennings,29022,$1.78M
The Hole,2009,PG-13,92 min,"Adventure, Fantasy, Thriller",5.7,Joe Dante,20908,NaN
Wolf Creek 2,2013,Not Rated,106 min,"Action, Horror",6.1,Greg McLean,15060,NaN
Charlie Countryman,2013,R,103 min,"Comedy, Drama, Romance",6.4,Fredrik Bond,24557,$0.01M
Chapter 27,2007,R,84 min,"Biography, Crime, Drama",5.7,J.P. Schaefer,9557,$0.06M
Stomp the Yard,2007,PG-13,109 min,"Drama, Music, Romance",5.3,Sylvain White,20692,$61.36M
Killshot,2008,R,95 min,"Action, Crime, Drama",6,John Madden,19572,$0.02M
Three Steps Above Heaven,2010,Not Rated,118 min,"Action, Drama, Romance",7,Fernando González Molina,19916,NaN
Paranormal Activity 2,2010,R,91 min,Horror,5.7,Tod Williams,90593,$84.75M
Alpeis,2011,Not Rated,93 min,Drama,6.4,Yorgos Lanthimos,7262,$0.01M
Tracks,2013,PG-13,112 min,"Adventure, Biography, Drama",7.2,John Curran,24327,$0.51M
Ugly,2013,Not Rated,128 min,"Crime, Drama, Mystery",8.1,Anurag Kashyap,15239,NaN
Youth in Revolt,2009,R,90 min,"Comedy, Drama, Romance",6.5,Miguel Arteta,69351,$15.28M
Paranormal Activity: The Ghost Dimension,2015,R,88 min,Horror,4.6,Gregory Plotkin,21168,$18.30M
Dhoom 3,2013,Not Rated,172 min,"Action, Thriller",5.4,Vijay Krishna Acharya,38651,$8.03M
